CMM,Status,Section Number,Content
2006-03_historical,historical,1,"Commission Members, Cooperating Non-Members, and participating Territories (CCMs) shall exercise restraint through limiting the number of their fishing vessels fishing for swordfish in the Convention Area south of 200S, to the number in any one year between the period 2000 – 2005.  CCMs shall not shift their fishing effort for swordfish to the area north of 200N, as a result of this measure."
2006-03_historical,historical,2,"Paragraph 1 shall not prejudice the legitimate rights and obligations under international law of small island developing State and participating Territory CCMs, in the Convention Area who may wish to pursue a responsible level of development of their own fisheries for swordfish in the Convention Area south of 200S."
2006-03_historical,historical,3,"CCMs shall cooperate to protect the long-term sustainability and economic viability of the fisheries for swordfish in the Southwest Pacific, and in particular shall cooperate on research to reduce uncertainty with regard to the status of swordfish stocks."
2006-03_historical,historical,4," In accordance with paragraph 1, CCMs shall provide information to the Commission, by 1 May 2007, on the number of their vessels that have fished for swordfish in the Convention area south of 200S, during the period 2000 – 2005, and in doing so, nominate the maximum number of vessels that shall continue to be permitted to fish for swordfish in the area south of 200S.  CCMs shall report annually to the Commission the number of vessels that have fished for swordfish in the area south of 200S no later than 90 days after the end of the year."
2006-03_historical,historical,5,The Executive Director shall compile and disseminate the information provided to the Commission by CCMs in accordance with paragraph 4.  The Technical and Compliance  2Committee shall monitor and review compliance with this measure and make recommendations to the Commission as may be necessary.
2006-03_historical,historical,6,"The Commission will review this measure in 2008, on the basis of advice from the scientific committee, following their consideration of an updated swordfish stock assessment that improves the understanding of stock structure and assesses the status of swordfish throughout its range and distribution in the South Pacific Ocean."
