CMM,Status,Section Number,Content
2021-04_active,active,1,"The provisions of this measure shall apply to Commission Members and Participating Territories that charter, lease or enter into other mechanisms with vessels eligible under paragraph 4 flagged  to  another  State or  Fishing Entity for the purpose of conducting fishing operations in  the  Convention  Area  as  an integral part of the domestic fleet of that chartering Member or Participating Territory."
2021-04_active,active,2,"Within 15 days, or in any case within 72 hours before commencement of fishing activities under a charter arrangement, the chartering Member or Participating Territory shall notify the Executive Director of any vessel to be identified as chartered in accordance with this measure by submitting electronically where possible to the Executive Director the following information with respect to each chartered vessel: a) name of the fishing vessel; b) WCPFC Identification Number (WIN); c) name and address of owner(s);  1 By adoption of this CMM (CMM 2021-04) the Commission rescinds CMM 2019-08 which has been replaced. 2  d) name and address of the charterer; e) the duration of the charter arrangement;  f) the flag state of the vessel; and g) the area of application (i.e., the chartering CCM’s EEZ and/or high seas). Upon receipt of the information the Executive Director will immediately notify the flag State and the Scientific Service Provider (SSP)."
2021-04_active,active,3,"Each chartering Member or Participating Territory shall notify the Executive Director as well as the flag State, within 15 days, or in any case within 72 hours before commencement of fishing activities under a charter arrangement of: a) any additional chartered vessels along with the information set forth in paragraph 2; b) any change in the information referred to in paragraph 2 with respect to any chartered vessel; and c) termination of the charter of any vessel previously notified under paragraph 2. Upon receipt of the information the Executive Director will immediately notify the SSP."
2021-04_active,active,4,"Only vessels listed on the WCPFC Record of Fishing Vessels or the WCPFC Interim Register of Non-CCM Carriers and Bunkers, and not on the WCPFC IUU vessel list, or IUU List of another RFMO, are eligible for charter."
2021-04_active,active,5,The Executive Director shall make the information required in paragraph 2 and 3 available to all CCMs.
2021-04_active,active,6,"Each year the Executive Director shall present a summary of all notified chartered vessels to the Commission for review. If necessary, the Commission may review and revise this measure."
2021-04_active,active,7,"Unless specifically provided in other CMMs, catches and effort of vessels notified as chartered under this CMM shall be attributed to the chartering Member or Participating Territory. Unless specifically provided in other CMMs, the chartering Member or Participating Territory shall report annually to the Executive Director catch and effort of chartered vessels in the previous year."
2021-04_active,active,8,This Measure shall expire on 28 February 2025 unless renewed by the Commission.  
