CMM,Status,Section Number,Content
2012-04_historical,historical,1,This measure shall apply to the high seas and exclusive economic zones of the Convention Area.  CCMs shall prohibit their flagged vessels from setting a purse seine on a school of tuna associated with a whale shark if the animal is sighted prior to the commencement of the set.
2012-04_historical,historical,2,"For fishing activities in PNA exclusive economic zones, the prohibition shall be implemented in accordance with the Third Arrangement implementing the Nauru Agreement as amended on 11 September 2010."
2012-04_historical,historical,3,"Notwithstanding Paragraph 1 above, for fishing activities in exclusive economic zones of CCMs north of 30 N, CCMs shall implement either this measure or compatible measures consistent with the obligations under this measure and report the measures taken in the Part 2 report."
2012-04_historical,historical,4,"CCMs shall require that, in the event that a whale shark is not deliberately encircled in the purse seine net, the master of the vessel shall:     (a) ensure that all reasonable steps are taken to ensure its safe release.; and     (b) report the incident to the relevant authority of the flag State, including the number of individuals, details of how and why the encirclement happened, where it occurred, steps taken to ensure safe release, and an assessment of the life status of the whale shark on release (including whether the animal was released alive but subsequently died).    4. In taking steps to ensure the safe release of the whale shark as required under paragraph 4(a), CCMs shall require the master of the vessel to follow any guidelines adopted by the Commission for the purpose of this measure."
2012-04_historical,historical,5,"In applying steps under paragraphs 1, 4(a) and 5, the safety of the crew shall remain paramount."
2012-04_historical,historical,6,"CCMs shall advise in their Part 1 Annual Report of any instances in which whale sharks have been encircled by the purse seine nets of their flagged vessels, including the details required under paragraph 4(b)."
2012-04_historical,historical,7,"The Secretariat shall report on the implementation of this conservation and management measure on the basis of observer reports, as part of the Annual Report on the Regional Observer Programme."
2012-04_historical,historical,8,"This Conservation and Management Measure shall enter into force on January 1, 2014."
