CMM,Status,Section Number,Content
2013-09_historical,historical,1,The interim management objective for Pacific bluefin tuna for 2014 is to ensure that the current (02-04 annual average) level of fishing mortality rate is not increased in the Convention Area.
2013-09_historical,historical,2," The Commission Members, Cooperating Non-Members and participating Territories (hereinafter referred to as CCMs) shall take measures necessary to ensure that total fishing effort by their vessel fishing for Pacific bluefin tuna in the area north of the 20 degrees north shall stay below the 2002-2004 2  annual average levels for 2014.  Such measures shall include those to reduce all catches of juveniles (age 0-3 (less than 30 kg)) significantly below* the 2002-2004 annual average levels for 2014."
2013-09_historical,historical,3,"CCMs, in particular those catching juvenile Pacific bluefin tuna, shall take measures to monitor and obtain prompt results of recruitment of juveniles each year.   An emergency rule shall be developed in 2014 which stipulates specific rules all CCMs shall comply with when a drastic drop of recruitment is detected."
2013-09_historical,historical,4,"Consistent with their rights and obligations under international laws, and in accordance with domestic laws and regulations, CCMs shall, to the extent possible, take measures necessary to prevent commercial transaction  of Pacific  Bluefin  tuna  and  its  products  that  undermine  the  effectiveness  of  this  CMM, especially measures prescribed in the paragraph 2 above.  CCMs shall cooperate for this purpose."
2013-09_historical,historical,5,The CCMs shall cooperate to establish Catch Documentation Scheme (CDS) to be applied to Pacific bluefin tuna as a matter of priority.
2013-09_historical,historical,6,CCMs shall also take measures necessary to strengthen data collecting system for Pacific bluefin tuna fisheries in order to improve the data quality and timeliness of all the data reporting;
2013-09_historical,historical,7,"CCMs shall submit to ISC by December 15th, 2013 all the catch and effort data until 2012 of juvenile and adults of Pacific bluefin tuna."
2013-09_historical,historical,8,"CCMs shall report to Executive Director by 31 July measures they used to implement paragraphs 2, 3, 6, 10 and 11 of this CMM.  CCMs shall also monitor the international trade of the products derived from Pacific bluefin tuna and report the results to Executive Director by 31 July. The Northern Committee shall annually review those reports CCMs submit pursuant to this paragraph;"
2013-09_historical,historical,9,The Northern Committee at its Regular session in 2014 shall review this CMM based on the stock status and conservation advice for Pacific bluefin tuna provided by ISC14 in 2014 and take further actions including substantial catch reduction of juveniles (age 0-3 (less than 30 kg));
2013-09_historical,historical,10,The WCPFC Executive Director shall communicate this Conservation Management Measure to the IATTC Secretariat and its contracting parties whose fishing vessels engage in fishing for Pacific bluefin tuna and request them to take equivalent measures in conformity with this CMM.
2013-09_historical,historical,11,"To enhance effectiveness of this measure, CCMs are encouraged to communicate with and, if appropriate, work with the concerned IATTC contracting parties bilaterally."
2013-09_historical,historical,12," The  provisions  of  paragraph  2  shall  not  prejudice  the  legitimate  rights  and  obligations  under international  law of those small island  developing  State Members and participating  territories  in the Convention Area whose current fishing activity for Pacific bluefin tuna is limited, but that have a real interest in fishing for the species, that may wish to develop their own fisheries for Pacific bluefin tuna in the future."
2013-09_historical,historical,13,"The provisions of paragraph 12 shall not provide a basis for an increase in fishing effort by fishing vessels owned or operated by interests outside such developing coastal State, particularly Small Island    * CCMs are required to reduce their juvenile catch at least by 15% below the 2002‐2004 annual average levels in 20143  Developing State Members or participating territories, unless such fishing is conducted in support of efforts by such Members and territories to develop their own domestic fisheries"
